"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","multi_head_attention_forward","fprop","19744","-","0","0","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3680","-","0","0","0","7","128,1,1","274,1,1"
"reduce_kernel","torch.nn.functional","multi_head_attention_forward","fprop","4448","-","0","0","0","7","256,2,1","48,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","2176","-","0","0","0","7","512,1,1","48,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5856","-","700000","1120000","0","7","256,1,1","547,1,1"
"elementwise_kernel","Tensor","__add__","fprop","2592","-","210000.0","1680000","0","7","512,1,1","274,1,1"
"RowwiseMomentsCUDAKernel","torch.nn.functional","layer_norm","fprop","5440","-","0","0","0","7","512,1,1","700,1,1"
"LayerNormForwardCUDAKernel","torch.nn.functional","layer_norm","fprop","2944","-","0","0","0","7","256,1,1","700,1,1"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","linear","fprop","19456","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","bias","fprop","4032","-","140000","1120000","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","relu","fprop","2176","-","140000","1120000","0","7","512,1,1","274,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5919","-","700000","1120000","0","7","256,1,1","547,1,1"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","linear","fprop","19359","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","bias","fprop","3968","-","140000","1120000","0","7","128,1,1","274,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5888","-","700000","1120000","0","7","256,1,1","547,1,1"
"elementwise_kernel","Tensor","__add__","fprop","2112","-","210000.0","1680000","0","7","512,1,1","274,1,1"
"RowwiseMomentsCUDAKernel","torch.nn.functional","layer_norm","fprop","5216","-","0","0","0","7","512,1,1","700,1,1"
"LayerNormForwardCUDAKernel","torch.nn.functional","layer_norm","fprop","3360","-","0","0","0","7","256,1,1","700,1,1"
"volta_sgemm_128x64_tn","torch.nn.functional","linear","fprop","761935","0","9317840000","30510200","0","7","128,1,1","260,11,1"
"elementwise_kernel","torch.nn.functional","bias","fprop","237467","-","23294600","186356800","0","7","128,1,1","45498,1,1"
"cunn_SoftMaxForward","torch.nn.functional","log_softmax","fprop","534580","-","0","279535200","0","7","1024,1,1","700,1,1"
"cunn_SoftMaxForward","torch.nn.functional","cross_entropy","fprop","527605","-","0","0","0","7","1024,1,1","700,1,1"
"cunn_ClassNLLCriterion_updateOutput_kernel","torch.nn.functional","cross_entropy","fprop","22688","-","0","0","0","7","32,1,1","1,1,1"
"elementwise_kernel","Tensor","backward","fprop","2624","-","0","0","0","7","128,1,1","1,1,1"
"cunn_ClassNLLCriterion_updateGradInput_kernel","torch.nn.functional","cross_entropy","bprop","13663","-","0","0","0","7","32,1,1","1,1,1"
"cunn_SoftMaxBackward","torch.nn.functional","cross_entropy","bprop","519764","-","0","0","0","7","1024,1,1","700,1,1"
"cunn_SoftMaxBackward","torch.nn.functional","log_softmax","bprop","518485","-","0","465892000","0","7","1024,1,1","700,1,1"
"reduce_kernel","na","sum","fprop","118557","na","0","0","0","7","32,16,1","1040,1,1"
"elementwise_kernel","na","add_","fprop","2048","na","0","0","0","7","512,1,1","65,1,1"
"volta_sgemm_32x32_sliced1x4_nt","torch.nn.functional","linear","bprop","885164","0","9317840000","30510200","0","7","128,1,1","7,1040,1"
"volta_sgemm_32x128_nn","torch.nn.functional","linear","bprop","1327075","0","9317840000","30510200","0","7","256,1,1","7,6,8"
"elementwise_kernel","na","add_","fprop","95262","na","0","0","0","7","512,1,1","13000,1,1"
"ComputeInternalGradientsCUDAKernel","torch.nn.functional","layer_norm","bprop","7008","-","0","0","0","7","512,1,1","700,1,1"
"ComputeGradientFusedParamsCUDAKernel","torch.nn.functional","layer_norm","bprop","2080","-","0","0","0","7","256,1,1","3,1,1"
"LayerNormBackwardCUDAKenrel","torch.nn.functional","layer_norm","bprop","3648","-","0","0","0","7","256,1,1","700,1,1"
"GammaBetaBackwardCUDAKernel","torch.nn.functional","layer_norm","bprop","13664","-","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1472","na","0","0","0","7","512,1,1","1,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2880","-","700000","1120000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6848","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","linear","bprop","21151","0","56000000","740000","0","7","256,1,1","4,7,2"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","linear","bprop","19872","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","na","add_","fprop","2048","na","0","0","0","7","512,1,1","79,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2912","-","700000","1120000","0","7","512,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","relu","bprop","3423","-","140000","1680000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6816","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1408","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","linear","bprop","17536","0","56000000","740000","0","7","256,1,1","4,7,2"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","linear","bprop","17375","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","na","add","fprop","2304","na","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","add_","fprop","1824","na","0","0","0","7","512,1,1","79,1,1"
"ComputeInternalGradientsCUDAKernel","torch.nn.functional","layer_norm","bprop","6208","-","0","0","0","7","512,1,1","700,1,1"
"ComputeGradientFusedParamsCUDAKernel","torch.nn.functional","layer_norm","bprop","1632","-","0","0","0","7","256,1,1","3,1,1"
"LayerNormBackwardCUDAKenrel","torch.nn.functional","layer_norm","bprop","3200","-","0","0","0","7","256,1,1","700,1,1"
"GammaBetaBackwardCUDAKernel","torch.nn.functional","layer_norm","bprop","13376","-","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1439","na","0","0","0","7","512,1,1","1,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2528","-","700000","1120000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6656","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","multi_head_attention_forward","bprop","17984","-","0","0","0","7","256,1,1","4,7,2"
